id,prediction
0,0.0
1,0.0
2,0.0
3,61.91639240852663
4,328.2350004708673
5,830.328523916054
6,1579.428406348954
7,2621.014324347771
8,2712.4192465184556
9,2339.2929204284746
10,2226.2013256003265
11,2577.5201583601033
12,2261.563778716635
13,2395.5848878559727
14,2280.5628494745097
15,1625.8606546993494
16,1204.7725380947336
17,684.8984706508163
18,259.085578434913
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,162.3257247585671
28,604.5181692251583
29,1366.543522104928
30,2430.711477603462
31,2718.2282310209603
32,3684.47839110743
33,3993.359072490134
34,4262.619950019264
35,4251.590279681523
36,4192.757358343504
37,3945.214587314227
38,3551.6989661668213
39,2670.8728702781787
40,1980.3074880719764
41,903.3481026560996
42,422.4334587397217
43,140.55718388104998
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,298.6701234142629
52,866.8675940448807
53,1473.245138588707
54,2343.6263946844283
55,3460.188592308317
56,4027.488685300701
57,4535.4485524147985
58,4673.316925645931
59,4476.855275496839
60,4474.597617225144
61,4032.3176130550723
62,3107.6466982268266
63,2078.977215846281
64,1183.7088630246485
65,823.7005016872487
66,401.3744600117811
67,142.62906753210814
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,148.24113108384734
76,489.30159549652586
77,1292.0032219785483
78,2225.976118235083
79,3376.931335232713
80,3609.3812800240203
81,3205.7540554646557
82,3131.8076307770666
83,3083.1928359560206
84,3501.6870853008522
85,2855.8319672973325
86,3296.2883013558658
87,2657.449832829936
88,1807.2467257049275
89,821.1851993869934
90,373.099870665704
91,130.83651659300267
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,276.3731252799599
100,600.9418546024019
101,1259.6402680698548
102,2303.177496837791
103,3371.627708501384
104,4284.671439040585
105,4402.746084717188
106,4693.561710259576
107,4769.804917620726
108,4330.0869593891675
109,3940.768677284381
110,3503.6794793717554
111,2762.6999108146597
112,1862.278786260506
113,1006.11302290924
114,500.9423764383354
115,208.01979954554514
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,35.213674795005886
123,223.92749235860998
124,641.8917753486141
125,1591.2488417971167
126,2198.530609958564
127,3470.093106972566
128,4016.9928152512066
129,4142.258607613142
130,3958.0821962574555
131,3676.4078609632015
132,3418.481117730027
133,3406.281505768223
134,3215.94952159522
135,2454.364123408089
136,1681.5941926574674
137,941.0456150816522
138,545.5478934393753
139,218.30672658612292
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,41.823286987475
147,246.9117074695888
148,685.605824185271
149,1601.3731403314225
150,2640.9054973844404
151,3721.7079476073695
152,4076.6395646717656
153,4303.504441769006
154,4081.802232681403
155,4082.367722348001
156,3796.9375072332864
157,3424.9345555914515
158,3126.183901610058
159,2314.1419728893543
160,1466.0293487298286
161,833.2796153035711
162,457.19659773199214
163,155.67171400837708
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,77.23229685145964
172,126.57083335060474
173,194.34353387741987
174,289.7740891576376
175,519.2031101033649
176,696.1445924746449
177,875.7572572874002
178,945.2889205211238
179,1398.3507662476159
180,2320.7879051584164
181,2476.5703062137513
182,2194.4138148894176
183,1795.349695031036
184,1275.0088455096784
185,758.3110587096417
186,331.0651926687344
187,108.20268757167986
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,38.94391108139746
195,172.31803124559838
196,382.6767751138354
197,827.1539438715085
198,1382.9753329565422
199,2129.375585247707
200,1410.6164136647853
201,2008.5753021866067
202,2748.4123216582766
203,2010.507153090225
204,2362.071442630514
205,2681.3991387786427
206,2159.4844526820184
207,1170.4911887217147
208,751.4713956824152
209,470.30518190696625
210,228.63126795178476
211,78.30188504917498
212,36.72460573581594
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,116.78019861978805
220,178.4808924186384
221,280.388751311078
222,728.7103783528815
223,1178.4704485230982
224,1969.2547032044024
225,2031.713053864378
226,1760.1500870888858
227,1653.3776814346443
228,1240.0528210123528
229,833.3088374679742
230,853.6768052869713
231,753.2725473653365
232,505.1294612980556
233,287.12091196054104
234,210.65020655728193
235,48.31336304769576
236,28.574885995505895
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,32.59643092459402
243,112.32263367460854
244,318.26004468507375
245,882.12808000574
246,1349.6048777028363
247,2096.4497139850473
248,2133.4984468243047
249,1548.2594962416779
250,1454.858628244756
251,1718.7200918861963
252,2286.6556871391776
253,2685.680037575543
254,2329.946482092613
255,1910.9120457956317
256,1342.7100405090955
257,799.4517627791258
258,497.7733825820751
259,147.32371709622964
260,42.21278885021411
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,64.24509773158297
267,141.25998698866795
268,330.32929477537465
269,777.950861951945
270,1120.8663741385456
271,1538.762257506515
272,1729.6508627206858
273,1842.4822014847682
274,1814.328355280877
275,1841.802261255322
276,1772.9922265016517
277,1481.1241516123732
278,1399.5748666205154
279,926.3628179554894
280,687.0704547068116
281,441.2022702704178
282,227.29440121243567
283,71.42296403678188
284,38.36939322743285
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,109.39140359083001
291,181.32986331484312
292,492.94598355399876
293,913.6126307107293
294,1478.5114477024788
295,2071.453797297496
296,2090.4404351318362
297,2757.5357665777656
298,2496.639184632386
299,2361.067512533342
300,2077.4860961041013
301,2296.9636148185755
302,2119.749149239492
303,1773.020560511572
304,1287.7676527277367
305,767.0264260370374
306,377.14275841529775
307,206.134879759562
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,76.76194463249317
315,224.63266181131792
316,552.6785327137679
317,884.8793365506285
318,1513.8294435292287
319,2038.568088482285
320,2730.63693571734
321,2844.3445214718554
322,2985.566394677524
323,2434.761313810267
324,2235.576324626183
325,1774.1529083349553
326,1555.7195784452856
327,1007.6678932423961
328,716.7161967917796
329,463.4056957909479
330,183.2894545901268
331,92.37938165591794
332,30.720679591115015
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,40.20510558664455
339,90.24975745992901
340,279.0054263796782
341,545.3469337224906
342,710.8396708717753
343,914.0572777514624
344,1167.7320615524493
345,1631.7579966270446
346,1488.1126203555918
347,1921.7583642971176
348,1744.3678171030024
349,1700.471212648349
350,1737.1030765159073
351,1400.8063248623946
352,949.3923246407165
353,501.30007868444716
354,323.09695704079536
355,165.1786254963497
356,72.37976584718655
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,58.102582942777985
363,173.2616528330305
364,372.5166395419094
365,557.0802790455502
366,881.5186057721935
367,1181.5837985256612
368,1783.1438500965896
369,2222.1026138348416
370,2282.4591502687485
371,2368.551726435646
